collegeName,branch,category,quota,round,closingRank,cutoffYear
"Government College of Engineering, Amravati",Civil Engineering,ST,MH,1,9698,2019
"Government College of Engineering, Amravati",Computer Science and Engineering,SC,MH,1,3389,2019
"Government College of Engineering, Amravati",Information Technology,ST,MH,1,6384,2019
"Government College of Engineering, Amravati",Electrical Engineering,SC,MH,1,9970,2019
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,ST,MH,1,9525,2019
"Government College of Engineering, Amravati",Instrumentation Engineering,ST,MH,1,13660,2019
"Government College of Engineering, Amravati",Mechanical Engineering,ST,MH,1,7194,2019
"Government College of Engineering, Chandrapur",Civil Engineering,OBC,MH,1,30133,2019
"Government College of Engineering, Chandrapur",Computer Science and Engineering,OBC,MH,1,23601,2019
"Government College of Engineering, Chandrapur",Electrical Engineering,OBC,MH,1,32782,2019
"Government College of Engineering, Chandrapur",Electronics and Telecommunication Engg,OBC,MH,1,66605,2019
"Government College of Engineering, Chandrapur",Instrumentation Engineering,General,MH,1,83256,2019
"Government College of Engineering, Chandrapur",Mechanical Engineering,OBC,MH,1,42998,2019
"Government College of Engineering, Amravati",Civil Engineering,NT,MH,2,9200,2019
"Government College of Engineering, Amravati",Computer Science and Engineering,OBC,MH,2,3958,2019
"Government College of Engineering, Amravati",Information Technology,OBC,MH,2,5525,2019
"Government College of Engineering, Amravati",Electrical Engineering,SC,MH,2,10933,2019
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,SC,MH,2,9714,2019
"Government College of Engineering, Amravati",Instrumentation Engineering,ST,MH,2,16212,2019
"Government College of Engineering, Amravati",Mechanical Engineering,OBC,MH,2,7782,2019
"Government College of Engineering, Chandrapur",Civil Engineering,SC,MH,2,30662,2019
"Government College of Engineering, Chandrapur",Computer Science and Engineering,SC,MH,2,32120,2019
"Government College of Engineering, Chandrapur",Electrical Engineering,OBC,MH,2,46859,2019
"Government College of Engineering, Chandrapur",Electronics and Telecommunication Engg,OBC,MH,2,75498,2019
"Government College of Engineering, Chandrapur",Instrumentation Engineering,General,MH,2,69498,2019
"Government College of Engineering, Chandrapur",Mechanical Engineering,OBC,MH,2,55808,2019
"Government College of Engineering, Amravati",Civil Engineering,ST,MH,3,10246,2019
"Government College of Engineering, Amravati",Computer Science and Engineering,ST,MH,3,3282,2019
"Government College of Engineering, Amravati",Information Technology,SC,MH,3,6925,2019
"Government College of Engineering, Amravati",Electrical Engineering,ST,MH,3,10147,2019
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,SC,MH,3,9337,2019
"Government College of Engineering, Amravati",Instrumentation Engineering,ST,MH,3,19865,2019
"Government College of Engineering, Amravati",Mechanical Engineering,OBC,MH,3,8295,2019
"Government College of Engineering, Chandrapur",Civil Engineering,General,MH,3,28287,2019
"Government College of Engineering, Chandrapur",Computer Science and Engineering,SC,MH,3,29857,2019
"Government College of Engineering, Chandrapur",Electrical Engineering,SC,MH,3,51039,2019
"Government College of Engineering, Chandrapur",Electronics and Telecommunication Engg,OBC,MH,3,64689,2019
"Government College of Engineering, Chandrapur",Instrumentation Engineering,OBC,MH,3,74080,2019
"Government College of Engineering, Chandrapur",Mechanical Engineering,General,MH,3,70617,2019
